iter	Logloss	Accuracy
579	0.1151153551	0.9687583445
580	0.1151016845	0.9687201984
581	0.1150707964	0.9686439062
582	0.1150644173	0.9686057601
583	0.1149990065	0.968567614
584	0.1148434134	0.9686439062
585	0.1147829324	0.9687201984
586	0.1147548426	0.9687201984
587	0.1147276614	0.9687583445
588	0.1147101711	0.9687583445
589	0.114709581	0.9687583445
590	0.1147067677	0.9687583445
591	0.1146580861	0.9687964906
592	0.1146284433	0.9687964906
593	0.1146220535	0.9688346367
594	0.1146144673	0.9688346367
595	0.1145814347	0.9689109289
596	0.11457202	0.9688727828
597	0.1145681368	0.9688727828
598	0.1145550651	0.9688346367
599	0.1145494429	0.9687583445
600	0.1145489643	0.9687583445
601	0.11453229	0.9687583445
602	0.1143859343	0.9687964906
603	0.1143789958	0.9687964906
604	0.114339348	0.9687964906
605	0.1143276772	0.968949075
606	0.1143241334	0.968949075
607	0.114321456	0.968949075
608	0.1143197862	0.968949075
609	0.1143090089	0.9689109289
610	0.1143039068	0.968949075
611	0.1143036013	0.9689109289
612	0.1142975274	0.9689109289
613	0.1142860145	0.9689109289
614	0.1142726636	0.9689109289
615	0.1142256854	0.968949075
616	0.1142222444	0.968949075
617	0.1142217898	0.968949075
618	0.114221487	0.968949075
619	0.1142205568	0.968949075
620	0.1141968006	0.9690253672
621	0.1141950262	0.9690253672
622	0.1141293618	0.9690635133
623	0.1141166086	0.9690635133
624	0.1141159413	0.9690635133
625	0.1141137896	0.9691016594
626	0.1141084316	0.9689872211
627	0.1141079665	0.9689872211
628	0.1140996142	0.9691016594
629	0.1140966535	0.9691016594
630	0.1140869453	0.9691016594
631	0.1140565126	0.9690635133
632	0.1139926381	0.9691016594
633	0.1139913195	0.9691016594
634	0.1139893782	0.9691016594
635	0.1139414415	0.9691016594
636	0.1139344779	0.9691398055
637	0.1139327794	0.9691398055
638	0.1139296813	0.9691398055
639	0.1139165337	0.9691016594
640	0.1138975135	0.9690635133
641	0.113897429	0.9690635133
642	0.1138851043	0.9690635133
643	0.1138267229	0.9691779516
644	0.1138248726	0.9691779516
645	0.1138197255	0.9691016594
646	0.1138130674	0.9691398055
647	0.11380914	0.9691779516
648	0.1137856856	0.9693686821
649	0.1137834296	0.9693686821
650	0.1137791077	0.9693686821
651	0.1137765231	0.9693686821
652	0.1136596014	0.9695594126
653	0.1135580662	0.9694831204
654	0.113556637	0.9694831204
655	0.1135346365	0.9694831204
656	0.1135168234	0.9694449743
657	0.1135002193	0.9694449743
658	0.1134369456	0.9694831204
659	0.1134113508	0.9694449743
660	0.1134096218	0.9694449743
661	0.1133816999	0.9694068282
662	0.1133792042	0.9694449743
663	0.1133715819	0.9694831204
664	0.1133670483	0.9694831204
665	0.1131643545	0.9694831204
666	0.113162795	0.9694831204
667	0.1131316885	0.9695594126
668	0.1131291715	0.9695594126
669	0.1131204804	0.9695975586
670	0.1131171932	0.9695975586
671	0.1130915955	0.9695975586
672	0.1130851182	0.9695975586
673	0.1130822667	0.9695975586
674	0.1130751287	0.9695975586
675	0.113037039	0.9696357047
676	0.1130215035	0.9696738508
677	0.1128931422	0.9696357047
678	0.1128701041	0.9696357047
679	0.1128364669	0.9696357047
680	0.1127965744	0.9696357047
681	0.1127862715	0.9697119969
682	0.1127003614	0.9696738508
683	0.1126842079	0.9696738508
684	0.1126645391	0.9696738508
685	0.1126250873	0.9696738508
686	0.1126036567	0.9696738508
687	0.112597529	0.9696738508
688	0.1125960238	0.9696738508
689	0.1125448233	0.9697882891
690	0.1125390198	0.9698264352
691	0.1125369607	0.9698264352
692	0.1125327123	0.9698264352
693	0.112532653	0.9698264352
694	0.1125311954	0.9698264352
695	0.1125308305	0.9698264352
696	0.1125284449	0.9698264352
697	0.1125065449	0.9697882891
698	0.112470699	0.9697882891
699	0.1124551508	0.9697882891
700	0.1121429482	0.9698645813
701	0.1120988727	0.9698645813
702	0.1120467354	0.9697882891
703	0.1120356471	0.9698264352
704	0.1119962464	0.9699027274
705	0.1119777036	0.9699027274
706	0.111966153	0.9698645813
707	0.1119410401	0.9699408735
708	0.1119408698	0.9699408735
709	0.1118389334	0.9699027274
710	0.1118337393	0.9699027274
711	0.1118139255	0.9699408735
712	0.1117591775	0.9699790196
713	0.1117170984	0.9700553118
714	0.1117107119	0.9699790196
715	0.1117061294	0.9699790196
716	0.1117050347	0.9699790196
717	0.1116985954	0.9699408735
718	0.1116265583	0.9699790196
719	0.1116125924	0.9699790196
